VIN: 
MAKE: 
MODEL: 
SERIAL NUMBER: 
UNIT NUMBER: 
DISPLAY DATE CODE: 170620201245
DATE DOWNLOADED(DD/MM/YYYY): 17/6/2020
"ID","Time","Type","Priority","Data Page","Reserved","PDU-F","PDU-S","Source Address","PGN","Abbr","PID","Data Length","Byte 0","Byte 1","Byte 2","Byte 3","Byte 4","Byte 5","Byte 6","Byte 7"
"0","1592375122.906940","29-bit","6","0","0","0xFF","0x03","0xE2","0xFF03","","0x18FF03E2","8",0x6D,0x02,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"1","1592375122.906940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x80,0x00,0x02,0x00,0x37,0x00,0xFF,0x03
"2","1592375122.906940","29-bit","6","0","0","0xFF","0xAA","0x20","0xFFAA","","0x18FFAA20","8",0x50,0x22,0x02,0x00,0x00,0x00,0x00,0x00
"3","1592375122.906940","29-bit","6","0","0","0xFF","0x05","0xE2","0xFF05","","0x18FF05E2","8",0xC2,0x0A,0x00,0x00,0xFF,0xFF,0xFF,0xFF
"4","1592375122.906940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x81,0x00,0x00,0x00,0x00,0x00,0x00,0x00
"5","1592375122.928940","29-bit","6","0","0","0xFF","0x00","0xE2","0xFF00","","0x18FF00E2","8",0x7B,0x03,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"6","1592375122.928940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x82,0xFF,0x1A,0x63,0x00,0x00,0x00,0x00
"7","1592375122.928940","29-bit","6","0","0","0xFF","0x01","0xE2","0xFF01","","0x18FF01E2","8",0xBD,0x01,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"8","1592375122.928940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x83,0xFF,0x3E,0x75,0x00,0x00,0x00,0x00
"9","1592375122.950940","29-bit","6","0","0","0xFF","0x02","0xE2","0xFF02","","0x18FF02E2","8",0xB5,0x00,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"10","1592375122.950940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x85,0x00,0x00,0x00,0x00,0x00,0x00,0xFF
"11","1592375122.950940","29-bit","6","0","0","0xFF","0x04","0xE2","0xFF04","","0x18FF04E2","8",0xB3,0x00,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"12","1592375122.950940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x80,0x00,0x02,0x00,0x37,0x00,0xFF,0x03
"13","1592375122.950940","29-bit","6","0","0","0xFF","0xAA","0x20","0xFFAA","","0x18FFAA20","8",0x50,0x22,0x02,0x00,0x00,0x00,0x00,0x00
"14","1592375122.972940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x81,0x00,0x00,0x00,0x00,0x00,0x00,0x00
"15","1592375122.972940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x82,0xFF,0x1C,0x63,0x00,0x00,0x00,0x00
"16","1592375122.972940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x83,0xFF,0x3E,0x75,0x00,0x00,0x00,0x00
"17","1592375122.994940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x84,0x00,0x00,0x00,0x00,0x07,0x00,0xFF
